id,text,emocion
465049714141200384,Buuenoos diiias ya estoy con mii pekeñaa!! Y creo q hoy va a ser un buuen diiiaa #Feliz con ganas de ti @king_torre http://t.co/1zsv6KufUG,Alegria
468241881428951041,"Nuevos proyectos, nuevas metas, una nueva semana para cumplirlos #Feliz",Alegria
469580509895729153,Hay altísimas posibilidades de a ver echo bien los tres problemas :') #feliz,Alegria
469251121354391553,Me tome un taxi con el primer tachero del mundo q no habla #Feliz,Alegria
468435168693211136,Lindos trofeos trajo el rojo ayer!!! ☺ #Feliz #Happines http://t.co/vsriQ4DhFw,Alegria
465338092267012096,Recien llegando a casa después de una hermosa función! Y recibiendo fotos de MI RECIEN NACIDA SOBRINA! #FELIZ :-),Alegria
469696935042248704,"Que lindo va ser dormir con el frío de mañana, no se cursa #feliz",Alegria
465086507083390976,"El día que Dios invento las tostadas con manteca, seguro estaba pensando en mi!!! #feliz finde!!",Alegria
464864820920328192,Pequeños momentos pueden hacer de un día ordinario un día especial                  ヽ( ★ω★)ノ #Feliz #Viernesdecomida #amigoschachérrimos &lt;3,Alegria
470374607728693248,"Con la visita de @marilomgm los sábados se hacen mejor,y si encima eres campeón de EUROPA con el @realmadrid ??? #Feliz",Alegria
469228981842370560,Alaben su nombre con danza y con  panderos y arpa a él canten. Salmo 149:3 woww Clases de Ballet...  #feliz #soy #danzarina #Altisimo.!!!,Alegria
468759215876870144,Hoy me desperte preocupada pensando en bañarme y prepararme para trabajar hasta que entendi que tengo franco #Feliz,Alegria
464890465549316096,"9 de mayo del 2013 - 9 de mayo del 2014 #1añitoya,  y los dos dias siempre los recordare : ') #undia10 #feliz",Alegria
468398693276979200,Hoy tengo una excelente #Idea que tal si salimos a ser #Absolutamente #feliz y hagamos de este dia una… http://t.co/2I143aUgAz,Alegria
465873162023206912,Nada mejor que esterarse que todo salio como tenia que salir y que mi abuelo esta bien! Es un grandee #Feliz #Tranquila #Orgullosa,Alegria
469707619725488128,Gracias ah Dios mi vida toma su camino #Feliz,Alegria
468020817360871424,"Aunque la carrera ha sido dura, lo que me ha hecho volver a estar bien ha sido ver a @crisrodrigo83 en la meta. Muchas gracias!!!! #feliz 😊",Alegria
469219252038164480,La gente quiere verme rodar con mis regalos #cumple #comida #comida y mas #comida #caprichos #amarlos #FELIZ :) :),Alegria
468373924263518208,"Buenos días :) comienza una nueva semana, ahora de vuelta a la realidad ! Pero que mejor que tenga un feriado entre medio 😁 #feliz",Alegria
464885612857008128,"Me acabo d enterar gracias a @Mugiwara__ que Avril Lavigne y Chad Kroeger,2 de mis cantantes favoritos están casados, #noestoypuesta #feliz",Alegria
468495582911557632,Nada más lindo que me digan que voy a ser la madrina de Lauty. #Feliz,Alegria
469420850002030592,buen día! hoy nos dan las camperas de egresados!!! #Feliz,Alegria
464645785628725248,"Que GENIAL la pasamos!! Una manera de cantar, reírnos, y charlar tremenda, muy buena onda hubo hoy en Pinares, #Feliz!! :)",Alegria
464758017721131010,Despues de casi casi un mes en Santa hoy a mi Viale querido!! #Feliz,Alegria
465114099039625217,"@azarpablo Pablito hoy debuté como actriz, es algo para mi #Feliz *-* quieres que hagamos un protagonico juntos? jajaja",Alegria
468396053776314368,"""La amistad es algo muy valioso que solo lo sabe un amigo verdadero"" #feliz :)))))))",Alegria
464583981380669440,jornada plenamente feliz :) triplete de funciones y esta familia sigue a puro éxito! #Feliz grande Monte Maíz! ;),Alegria
465907500056064001,"Que buen finde semana, muuuuy tranquila y rodeada de buena gente #Feliz",Alegria
469274196678557696,No tenia muchas ganas de armar pero quedaron hermosos!!! #Feliz,Alegria
469646142297239552,Que hermoso dia!!! Termiandolo comiendo unas ricas tartas despues d un hermoso entrenamiento y tarde c mis chiquis!! #Feliz,Alegria
469188010677137408,Primer internado area infantil aprobado.. gran experiencia en el hospital naval. Samar y colegio #feliz,Alegria
464626277430083584,#FELIZ #FELIZ #FELIZ #FELIZ   :D LA MOTIVACION QUE OBTENGO DE CADA COMENTARIO POSITIVO ME HACE CREERME CAPAZ DE CONSEGUIR LO QUE SEA,Alegria
468364306980298753,Que lindo empezar la semana tan feliz! Me desperté temprano con una sonrisa de oreja a oreja! :D #Feliz #GraciasRiver #VamosRiver,Alegria
464573127285301248,La semana q viene van a ser mias #feliz http://t.co/6eilM63iOB,Alegria
469261088165724160,"Yo ya arranque una nueva vida, una nueva historia y es mejor que las otras! #Feliz",Alegria
464973728125059072,"Estoy feliz, totalmente agradecida con la vida y con la maravilla de la naturaleza y con Dios por darme estas grandes oportunidades #Feliz",Alegria
469241895588483072,"me puse a leer nuestra conver, y cambio un montón nuestra relación, lo bueno es saber que cambio para bien :) #Feliz",Alegria
465501846249828352,Con lluvia y todo hoy veo al negro hermoso!! #Feliz #ABailar #RomeoSantos #Romeo http://t.co/UAMU6TSP36,Alegria
468513180596318208,"Y de repente, un dia... encuentras un motivo mas q tira de ti y te hace sonreir #motivos #feliz martes @anita_ferre :)",Alegria
465056613225992193,No hemos podido dejar de pensar que hoy nuestro TL estará lleno de tweets mostrando lo #feliz que nos hace mamá. #FelizDiaDeLasMadres,Alegria
465312033760894976,Que genio dylan diciendome que valla a la casa a jugar a la play que mañana comemos asado mientras vemos el partido de chicagocampeòn!#feliz,Alegria
468189749132681217,Terminar este espectacular fin de semana festejando en mi pueblo con toda la gente millonaria el:  RIVER CAMPEON #Notieneprecio #Feliz,Alegria
469541917584527360,"#inlove #orgullosa #feliz. Al escritor,compositor,psicologo al amigo al Papa ♥mil exitosss! Mi alma en quilla http://t.co/oMp4FqBo6x",Alegria
464940931922554880,"Buen Viernes, al parecer todo marcha bien :) #satisfecha #feliz",Alegria
468771286714703873,taller de lectura y escritura la tenes adentro !! primer materia promocionada #Feliz,Alegria
469689882030665729,"Por fin! Que lindo decir ""hogar dulce hogar"" Toda mi familia junta en mi casa, nada mejor!! #Feliz 🙌",Alegria
465197453239926785,"Mas que lindo el triunfo de hoy, por suerte pude hacer un golcito :) #Feliz Juve 5-0 Banda Norte",Alegria
